API_WellNo,OpNo,CoName,Well_Nm,Well_Typ,Type,Wl_Status,Status,Wh_Sec,Wh_Twpn,Wh_Twpd,Wh_RngN,Wh_RngD,Wh_Qtr,Wh_FtNS,Wh_Ns,Wh_FtEW,Wh_EW,Slant,Reg_Field_No,Reg_Field,Stat_Field_No,Stat_Field,Dt_APD,Dt_Cmp,Elev_KB,DTD
25083223330000,118,Enerplus Resources USA Corporation,Bullwinkle-Able  3-2H,OIL,Oil,SI,Shut In,3,23,N,57,E, NW NE,250.0,N,2100.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2005-07-22 00:00:00,2005-10-21 00:00:00,2532.0,15050.0
25083222700000,6980,Slawson Exploration Company Inc,Typhoon Federal  1-22H,OIL,Oil,PR,Producing,22,25,N,52,E, SW SE,400.0,S,2160.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2005-02-01 00:00:00,2006-01-27 00:00:00,2336.0,14200.0
25085219870000,727,"Kraken Operating, LLC",Gehringer 24-13  #2H,OIL,Oil,PR,Producing,25,28,N,58,E, NW NE,320.0,N,1691.0,E,H,11085,"Elm Coulee, Northeast",2933,"Elm Coulee, Northeast",2017-12-06 00:00:00,2018-11-13 00:00:00,2038.0,20908.0
25025230790000,664,"Denbury Onshore, LLC",Coral Creek  13-35H,OIL,Oil,PR,Producing,35,7,N,60,E, NW SW,1820.0,S,795.0,W,H,5700,Lookout Butte,5700,Lookout Butte,2014-05-16 00:00:00,2014-10-03 00:00:00,3079.0,15495.0
25083223700000,536,Ovintiv USA Inc.,Jennifer  1-34H,OIL,Oil,PR,Producing,34,22,N,59,E, NW SW,2137.0,S,312.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2005-10-03 00:00:00,2005-12-17 00:00:00,2051.0,14875.0
25083227270000,1550,Continental Resources Inc,Constance  3-7H,OIL,Oil,PR,Producing,7,23,N,56,E, NW NW,400.0,N,800.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2008-01-16 00:00:00,2008-04-09 00:00:00,2630.0,19650.0
25083227960000,580,XTO Energy Inc.,Halvorsen State  31X-36,OIL,Oil,PR,Producing,36,23,N,57,E, NW NE,240.0,N,2000.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2008-12-23 00:00:00,2009-05-01 00:00:00,,20020.0
25083222380000,5000,Burlington Resources Oil & Gas Company LP,BR  24-29H,OIL,Oil,PR,Producing,29,25,N,53,E, SE SW,130.0,S,2400.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2004-11-08 00:00:00,2005-01-19 00:00:00,2472.0,14199.0
25083222690000,6980,Slawson Exploration Company Inc,Mosquito  2-14H,OIL,Oil,SI,Shut In,14,24,N,53,E, SW SW,190.0,S,660.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2005-02-01 00:00:00,2005-03-24 00:00:00,2412.0,14150.0
25091218760000,871,"D90 Energy, LLC",Heppner  10-11H,OIL,Oil,SI,Shut In,10,37,N,57,E, NE SW,1583.0,S,3061.0,E,H,3200,Flat Lake,3200,Flat Lake,2010-09-08 00:00:00,2011-03-09 00:00:00,2210.0,11149.0
25085218880000,2322,"EOG Resources, Inc.",Stateline  13-3635H,OIL,Oil,PR,Producing,36,28,N,59,E,  S2,1980.0,S,200.0,E,H,11085,"Elm Coulee, Northeast",2933,"Elm Coulee, Northeast",2012-10-12 00:00:00,2013-04-27 00:00:00,,16645.0
25083220610000,1550,Continental Resources Inc,Swendseid  1-9H,OIL,Oil,PR,Producing,9,23,N,55,E, SW SW,130.0,S,900.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2003-10-17 00:00:00,2006-02-21 00:00:00,2484.0,14650.0
25083223360000,580,XTO Energy Inc.,Petersen  41X-28,OIL,Oil,PR,Producing,28,22,N,59,E, NE NE,300.0,N,300.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2005-08-08 00:00:00,2005-12-08 00:00:00,2045.0,16798.0
25083229020000,6980,Slawson Exploration Company Inc,Culverin  1-32H,OIL,Oil,PR,Producing,32,21,N,60,E, SW SW,200.0,S,660.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2011-10-20 00:00:00,2012-06-11 00:00:00,2283.0,15060.0
25083226650000,6955,Sinclair Oil & Gas Company,Ralston  1-15H,OIL,Oil,PR,Producing,15,27,N,53,E, SE SW,175.0,S,1400.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2007-06-22 00:00:00,2007-09-26 00:00:00,2100.0,13494.0
25083230560000,246,"Prima Exploration, Inc.",Christiansen  34-12-1H,OIL,Oil,PR,Producing,12,25,N,58,E, SW SE,200.0,S,1670.0,E,H,11083,"Elm Coulee, Northeast",2933,"Elm Coulee, Northeast",2012-10-02 00:00:00,2013-01-21 00:00:00,2070.0,22177.0
25083223970000,536,Ovintiv USA Inc.,Mercer  2-35H,OIL,Oil,PR,Producing,35,22,N,59,E, SE SE,220.0,S,1235.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2005-11-17 00:00:00,2006-04-07 00:00:00,2336.0,15267.0
25083228120000,6980,Slawson Exploration Company Inc,Vandal  1-16H,OIL,Oil,PR,Producing,16,23,N,53,E, NE NW,350.0,N,1440.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2009-11-04 00:00:00,2010-04-15 00:00:00,2312.0,14310.0
25025217990000,664,"Denbury Onshore, LLC",ELOB     43-24SH,EOR,"Injection, EOR",IA,Active Injection,24,7,N,60,E, NE SE,2440.0,S,450.0,E,H,5708,"Lookout Butte, East, Unit",5708,"Lookout Butte, East, Unit",1998-11-24 00:00:00,1999-02-24 00:00:00,3160.0,12631.0
25083220560000,727,"Kraken Operating, LLC",Boulder-Stone  26-16H,OIL,Oil,AU,Abandoned - Unapproved,26,26,N,51,E, SE SE,250.0,S,540.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2003-10-09 00:00:00,2004-01-10 00:00:00,2418.0,12553.0
25083223730000,404,Whiting Oil and Gas Corporation,Qualley  12-17H,OIL,Oil,AX,P&A - Approved,17,23,N,55,E, SW NW,2060.0,N,380.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2005-10-06 00:00:00,2006-01-20 00:00:00,2587.0,14428.0
25085214600000,895,Digital Operating Company LLC,Dethman  1-12HR,OIL,Oil,SI,Shut In,12,27,N,57,E, SW SE,661.0,S,1993.0,E,H,11085,Oxbow II,6624,Oxbow II,1984-03-07 00:00:00,1984-06-11 00:00:00,2171.0,13127.0
25083219550000,118,Enerplus Resources USA Corporation,Buffalo-Cole  21-2H,OIL,Oil,PR,Producing,21,24,N,55,E, NW NE,300.0,N,2000.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2002-10-08 00:00:00,2004-10-23 00:00:00,2452.0,14230.0
25065218900000,593,"Three Forks Resources, LLC",Hougen  32-1H,OIL,Oil,PR,Producing,32,11,N,30,E, NW NW,225.0,N,565.0,W,H,11065,Hit Parade,4423,Hit Parade,2013-07-08 00:00:00,2013-11-18 00:00:00,2967.0,10688.0
25083229540000,1550,Continental Resources Inc,Tower  1-4H,OIL,Oil,PR,Producing,9,26,N,53,E, NE NW,200.0,N,1627.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2012-03-02 00:00:00,2013-03-13 00:00:00,2146.0,19277.0
25083227870000,118,Enerplus Resources USA Corporation,Natasha-John  36-3-HLID3,OIL,Oil,PR,Producing,36,24,N,57,E, NE NW,246.0,N,1763.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2008-10-07 00:00:00,2010-09-10 00:00:00,2344.0,19945.0
25025215830000,664,"Denbury Onshore, LLC",Unit  14X-15H,OIL,Oil,PR,Producing,15,8,N,59,E, SW SW,670.0,S,750.0,W,H,6680,Pennel,6680,Pennel,1995-08-11 00:00:00,1996-02-09 00:00:00,2963.0,12007.0
25025215730000,664,"Denbury Onshore, LLC",Unit  14-14CCH,EOR,"Injection, EOR",IA,Active Injection,14,6,N,60,E, SW SW,624.0,S,724.0,W,H,5700,Lookout Butte,5700,Lookout Butte,1995-05-23 00:00:00,1995-10-19 00:00:00,3112.0,14875.0
25025215540000,5000,Burlington Resources Oil & Gas Company LP,ELOB Unit  14-6H,OIL,Oil,AX,P&A - Approved,6,6,N,61,E, SW SW,593.0,S,587.0,W,H,5708,"Lookout Butte, East, Unit",5708,"Lookout Butte, East, Unit",1995-03-31 00:00:00,1995-07-15 00:00:00,2977.0,13450.0
25083228750000,580,XTO Energy Inc.,Sherlock  13X-24,OIL,Oil,PR,Producing,24,23,N,58,E, NW SW,1748.0,S,281.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2011-02-24 00:00:00,2011-07-27 00:00:00,2229.0,19886.0
25091218240000,5421,"Northern Oil Production, Inc.",Ruegsegger  4-24H,OIL,Oil,PR,Producing,24,36,N,52,E, NW NW,564.0,N,228.0,W,H,6560,Outlook,6560,Outlook,2006-10-27 00:00:00,2007-02-08 00:00:00,2435.0,11973.0
25025218970000,664,"Denbury Onshore, LLC",Mystery Creek  41-35H,OIL,Oil,PR,Producing,35,9,N,58,E, NE NE,300.0,N,300.0,E,H,6220,Monarch,6220,Monarch,2000-02-11 00:00:00,2000-03-25 00:00:00,2906.0,13100.0
25085218120000,533,Oasis Petroleum North America LLC,Piercy Federal 2758  13-5H,OIL,Oil,PR,Producing,5,27,N,58,E, NW NE,320.0,N,2310.0,E,H,11085,"Elm Coulee, Northeast",2933,"Elm Coulee, Northeast",2011-09-06 00:00:00,2012-04-04 00:00:00,,20686.0
25025218230000,664,"Denbury Onshore, LLC",ELOB  12-36SH,EOR,"Injection, EOR",IA,Active Injection,36,7,N,60,E, SW NW,2050.0,N,300.0,W,H,5708,"Lookout Butte, East, Unit",5708,"Lookout Butte, East, Unit",1998-12-29 00:00:00,1999-03-15 00:00:00,3101.0,13525.0
25083225220000,580,XTO Energy Inc.,Simard Farms  41X-22,OIL,Oil,PR,Producing,22,22,N,58,E, NE NE,860.0,N,570.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2006-07-06 00:00:00,2006-09-13 00:00:00,2133.0,21080.0
25025223960000,664,"Denbury Onshore, LLC",ELOB  14C-35SH 761,OIL,Oil,PR,Producing,35,7,N,61,E, SW SW,220.0,S,220.0,W,H,5710,"Lookout Butte, East, Unit",5708,"Lookout Butte, East, Unit",2004-06-30 00:00:00,2004-11-17 00:00:00,,18552.0
25083231220000,1550,Continental Resources Inc,Stoney Butte-Prevost  HSU,OIL,Oil,PR,Producing,20,23,N,56,E, NE NE,255.0,N,273.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2013-02-26 00:00:00,2013-06-19 00:00:00,2488.0,20678.0
25021211320000,6681,Samedan Oil Corporation,Diamond V  14-2H,OIL,Oil,AX,P&A - Approved,2,17,N,53,E, SW SW,660.0,S,660.0,W,H,2500,Deer Creek,2500,Deer Creek,1997-05-06 00:00:00,1998-08-01 00:00:00,2516.0,9292.0
25025223260000,664,"Denbury Onshore, LLC",Coral Creek  33X-10CCH,OIL,Oil,PR,Producing,10,6,N,60,E, NW SE,1345.0,S,1445.0,E,H,5700,Lookout Butte,5700,Lookout Butte,2004-01-30 00:00:00,2004-06-01 00:00:00,3082.0,12425.0
25083222890000,580,XTO Energy Inc.,Putnam Farms  43X-18,OIL,Oil,SI,Shut In,18,23,N,57,E, NE SE,1700.0,S,600.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2005-04-11 00:00:00,2005-06-09 00:00:00,2605.0,15596.0
25025215200000,664,"Denbury Onshore, LLC",ELOB  32-5H,WS,Water Source,C,Completed,5,6,N,61,E, SW NE,1591.0,N,1388.0,E,H,5708,"Lookout Butte, East, Unit",5708,"Lookout Butte, East, Unit",1994-02-25 00:00:00,1994-06-25 00:00:00,2980.0,12340.0
25083220110000,580,XTO Energy Inc.,LeSueur  31X-22,OIL,Oil,PR,Producing,22,24,N,56,E, NW NE,660.0,N,1844.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2003-05-28 00:00:00,2003-08-15 00:00:00,2495.0,15535.0
25083220340000,118,Enerplus Resources USA Corporation,Buffalo-Bradley  22-3H,OIL,Oil,PR,Producing,22,24,N,55,E, NE NW,250.0,N,1720.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2003-08-21 00:00:00,2004-08-13 00:00:00,2515.0,19436.0
25083233150000,404,Whiting Oil and Gas Corporation,Buxbaum  21-5-3H,OIL,Oil,PR,Producing,5,24,N,60,E, NE NW,260.0,N,1775.0,W,H,11083,"Elm Coulee, Northeast",2933,"Elm Coulee, Northeast",2014-10-09 00:00:00,2015-02-10 00:00:00,1983.0,22077.0
25083225250000,118,Enerplus Resources USA Corporation,Whiplash-Isabella  10-15-HLID3,OIL,Oil,PR,Producing,10,24,N,55,E, SW SE,412.0,S,1909.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2006-07-10 00:00:00,2006-09-28 00:00:00,2389.0,16040.0
25021211540000,664,"Denbury Onshore, LLC",Unit  14X-16,OIL,Oil,PR,Producing,16,14,N,55,E, SW SW,1300.0,S,750.0,W,H,3620,Gas City,3620,Gas City,2002-08-23 00:00:00,2002-12-07 00:00:00,2184.0,12419.0
25083231570000,1550,Continental Resources Inc,Parsons Federal  1-6H,OIL,Oil,PR,Producing,6,26,N,53,E, NE NW,359.0,N,2098.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2013-05-10 00:00:00,2013-11-06 00:00:00,2226.0,18470.0
25083220210000,1550,Continental Resources Inc,Melvin  1-34H,WS,Water Source,C,Completed,34,24,N,55,E, SW SW,500.0,S,1120.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2003-07-15 00:00:00,2003-09-18 00:00:00,2618.0,15127.0
25083228530000,580,XTO Energy Inc.,Tolksdorf  24X-27,OIL,Oil,PR,Producing,27,26,N,53,E, SE SW,285.0,S,2300.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2010-07-26 00:00:00,2010-09-29 00:00:00,2395.0,19014.0
25083232130000,404,Whiting Oil and Gas Corporation,Sundheim  21-3-4H,OIL,Oil,PR,Producing,3,24,N,59,E,  ,300.0,N,2070.0,W,H,11083,"Elm Coulee, Northeast",2933,"Elm Coulee, Northeast",2013-12-13 00:00:00,2014-06-21 00:00:00,2211.0,17740.0
25083220740000,2322,"EOG Resources, Inc.",Brown  1-6H,OIL,Oil,PR,Producing,6,25,N,53,E, SW SE,200.0,S,1880.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2003-10-24 00:00:00,2004-06-02 00:00:00,2356.0,13400.0
25083226150000,5000,Burlington Resources Oil & Gas Company LP,BR  41-19H 28,OIL,Oil,PR,Producing,19,22,N,58,E, NE NE,400.0,N,425.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2007-02-22 00:00:00,2007-06-15 00:00:00,2180.0,15824.0
25083219880000,2322,"EOG Resources, Inc.",Leo  1-18H,OIL,Oil,PR,Producing,18,25,N,53,E, SE SE,330.0,S,230.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2003-04-18 00:00:00,2004-09-04 00:00:00,2420.0,15129.0
25085217330000,2322,"EOG Resources, Inc.",Carat  2-33H,OIL,Oil,AU,Abandoned - Unapproved,33,29,N,57,E, SE SE,660.0,S,660.0,E,H,11085,"Elm Coulee, Northeast",2933,"Elm Coulee, Northeast",2009-08-05 00:00:00,2010-04-22 00:00:00,2161.0,13742.0
25083231990000,404,Whiting Oil and Gas Corporation,Skov  31-28-2H,OIL,Oil,PR,Producing,28,25,N,59,E, NW NE,280.0,N,1635.0,E,H,11083,"Elm Coulee, Northeast",2933,"Elm Coulee, Northeast",2013-10-17 00:00:00,2014-03-31 00:00:00,2126.0,20566.0
25085219970000,727,"Kraken Operating, LLC",Jill 26-25  #5H,OIL,Oil,PR,Producing,27,27,N,57,E, NE SE,2460.0,S,280.0,E,H,11085,"Elm Coulee, Northeast",2933,"Elm Coulee, Northeast",2018-03-15 00:00:00,2018-04-20 00:00:00,1933.0,19702.0
25083225480000,6980,Slawson Exploration Company Inc,Sparrow  1-10H,OIL,Oil,PR,Producing,10,23,N,53,E, NE NE,400.0,N,300.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2006-09-21 00:00:00,2007-04-17 00:00:00,2475.0,15445.0
25083232160000,404,Whiting Oil and Gas Corporation,Sundheim  21-27-4H,OIL,Oil,PR,Producing,27,25,N,58,E, NE NW,395.0,N,1980.0,W,H,11083,"Elm Coulee, Northeast",2933,"Elm Coulee, Northeast",2013-12-17 00:00:00,2014-07-10 00:00:00,2229.0,21497.0
25035218880000,111,"Montalban Oil & Gas Operations, Inc.",Red Creek  16A-2,OIL,Oil,TA,Temporarily Abandoned,2,37,N,5,W,NE SE SE,973.0,S,558.0,E,H,7460,Red Creek,7460,Red Creek,1994-01-10 00:00:00,1994-02-07 00:00:00,3766.0,4891.0
25083225900000,1550,Continental Resources Inc,Rita  2-19H,OIL,Oil,PR,Producing,19,23,N,56,E, SW SE,225.0,S,2400.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2007-01-08 00:00:00,2007-04-12 00:00:00,2474.0,15800.0
25083226900000,536,Ovintiv USA Inc.,Gladowski  2-25H,OIL,Oil,SI,Shut In,25,24,N,55,E, SW SE,200.0,S,2439.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2007-08-27 00:00:00,2007-11-19 00:00:00,2592.0,13610.0
25083226600000,118,Enerplus Resources USA Corporation,Hopper-Herman  24-3-HID3,OIL,Oil,PR,Producing,24,25,N,53,E, NE NW,336.0,N,1930.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2007-06-15 00:00:00,2007-08-21 00:00:00,2354.0,13827.0
25025217680000,664,"Denbury Onshore, LLC",ELOB  33-19NH,EOR,"Injection, EOR",IA,Active Injection,19,7,N,61,E, NW SE,2510.0,S,2500.0,E,H,5708,"Lookout Butte, East, Unit",5708,"Lookout Butte, East, Unit",1998-05-04 00:00:00,1998-08-01 00:00:00,3062.0,15284.0
25025217630000,664,"Denbury Onshore, LLC",ELOB  14-14NH,EOR,"Injection, EOR",IA,Active Injection,14,7,N,60,E, SW SW,640.0,S,405.0,W,H,5708,"Lookout Butte, East, Unit",5708,"Lookout Butte, East, Unit",1998-04-13 00:00:00,1998-07-09 00:00:00,3074.0,16116.0
25083224030000,779,"White Rock Oil & Gas, LLC",Sunwall  12-8H,OIL,Oil,SI,Shut In,8,23,N,58,E, NW SW,1980.0,S,514.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2005-11-29 00:00:00,2006-07-18 00:00:00,2312.0,14359.0
25035218930000,111,"Montalban Oil & Gas Operations, Inc.",Red Creek  16A2-2,OIL,Oil,PR,Producing,2,37,N,5,W, SE SE,753.0,S,82.0,E,H,7460,Red Creek,7460,Red Creek,1994-02-01 00:00:00,1994-02-27 00:00:00,3759.0,5114.0
25021211400000,5000,Burlington Resources Oil & Gas Company LP,Kaufman  44-6H,OIL,Oil,AX,P&A - Approved,6,22,N,52,E, SE SE,695.0,S,865.0,E,H,5380,Lisk Creek,5380,Lisk Creek,1997-11-17 00:00:00,1998-02-10 00:00:00,2544.0,11866.0
25083225460000,536,Ovintiv USA Inc.,Watts  1-23H,OIL,Oil,SI,Shut In,23,24,N,59,E, NW SW,2043.0,S,230.0,W,H,11083,North Fork,6380,North Fork,2006-09-11 00:00:00,2006-12-12 00:00:00,2076.0,13189.0
25083224190000,580,XTO Energy Inc.,Groskinsky  44X-6,OIL,Oil,PR,Producing,6,22,N,59,E, SE SE,225.0,S,300.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2005-12-22 00:00:00,2006-05-27 00:00:00,1962.0,16806.0
25083232070000,1550,Continental Resources Inc,Marla  AHSL,OIL,Oil,PR,Producing,35,24,N,55,E, NW NW,400.0,N,440.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2013-11-14 00:00:00,2014-04-16 00:00:00,2655.0,20185.0
25025216440000,1550,Continental Resources Inc,Little Beaver East  14-10H,OIL,Oil,TA,Temporarily Abandoned,10,5,N,61,E, SW SW,750.0,S,450.0,W,H,5420,"Little Beaver, East",5420,"Little Beaver, East",1997-02-05 00:00:00,1997-05-31 00:00:00,2893.0,13580.0
25101242100000,6692,Sands Oil Company,Simmes Ranch  41-2-36-3W-H,OIL,Oil,SI,Shut In,2,36,N,3,W, NE NE,400.0,N,850.0,E,H,11101,Rattlesnake Coulee,7260,Rattlesnake Coulee,2012-07-24 00:00:00,2012-12-02 00:00:00,,7400.0
25083229340000,882,"Grayson Mill Operating, LLC",Shirley  13-24 1H,OIL,Oil,PR,Producing,13,26,N,58,E, NW NE,350.0,N,1476.0,E,H,11083,"Elm Coulee, Northeast",2933,"Elm Coulee, Northeast",2012-01-11 00:00:00,2012-10-06 00:00:00,2098.0,20048.0
25091217760000,713,Legacy Reserves Operating LP,Dahl  1-14H,OIL,Oil,PR,Producing,14,33,N,58,E, NE NE,400.0,N,900.0,E,H,1420,Brush Lake,1420,Brush Lake,2003-07-01 00:00:00,2003-09-25 00:00:00,2017.0,15417.0
25083225000000,580,XTO Energy Inc.,Staffanson State  14X-16,OIL,Oil,PR,Producing,16,22,N,58,E, SW SW,300.0,S,900.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2006-05-30 00:00:00,2007-07-01 00:00:00,2207.0,15715.0
25025219020000,664,"Denbury Onshore, LLC",Unit  24X-09BH,EOR,"Injection, EOR",IA,Active Injection,9,7,N,60,E, SE SW,660.0,S,1879.0,W,H,6680,Pennel,6680,Pennel,2000-03-23 00:00:00,2000-06-08 00:00:00,3009.0,12762.0
25083221620000,580,XTO Energy Inc.,Steinbeisser  41-34H,OIL,Oil,SI,Shut In,34,23,N,57,E, NE NE,640.0,N,705.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2004-06-08 00:00:00,2004-10-28 00:00:00,2591.0,15643.0
25083227100000,1550,Continental Resources Inc,Audrey  3-31H,OIL,Oil,PR,Producing,31,24,N,56,E, NW NE,1065.0,N,2455.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2007-12-04 00:00:00,2008-03-27 00:00:00,2546.0,18981.0
25083231320000,404,Whiting Oil and Gas Corporation,Sundheim  21-3-1H,OIL,Oil,PR,Producing,3,24,N,59,E,  N2,200.0,N,1980.0,W,H,11083,"Elm Coulee, Northeast",2933,"Elm Coulee, Northeast",2013-03-12 00:00:00,2013-07-11 00:00:00,2209.0,17005.0
25025221960000,664,"Denbury Onshore, LLC",Unit  14-27BH,OIL,Oil,PR,Producing,27,7,N,60,E, SW SW,330.0,S,330.0,W,H,6680,Pennel,6680,Pennel,2003-01-30 00:00:00,2003-03-26 00:00:00,3047.0,14794.0
25083225790000,5000,Burlington Resources Oil & Gas Company LP,BR  11-1H 33,OIL,Oil,PR,Producing,1,23,N,53,E, NW NW,400.0,N,400.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2006-12-11 00:00:00,2007-03-02 00:00:00,2480.0,15400.0
25083226460000,580,XTO Energy Inc.,Zadow  11X-2,OIL,Oil,PR,Producing,2,22,N,58,E, NW NW,420.0,N,700.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2007-05-29 00:00:00,2007-08-08 00:00:00,2286.0,19643.0
25083219490000,118,Enerplus Resources USA Corporation,Cable-Strand  28-14-H,OIL,Oil,PR,Producing,28,25,N,54,E, SE SW,250.0,S,1990.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2002-08-09 00:00:00,2002-09-10 00:00:00,2371.0,14025.0
25091219210000,871,"D90 Energy, LLC",Hellegaard  9-13H-2,OIL,Oil,PR,Producing,9,37,N,57,E, SW SW,640.0,S,255.0,W,H,11091,Flat Lake,3200,Flat Lake,2012-06-15 00:00:00,2012-10-18 00:00:00,2274.0,12126.0
25083224930000,118,Enerplus Resources USA Corporation,Chainsaw-Edington  11-3-HID3,OIL,Oil,PR,Producing,11,24,N,55,E, NE NW,280.0,N,2123.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2006-05-18 00:00:00,2006-09-07 00:00:00,2308.0,13708.0
25083227410000,118,Enerplus Resources USA Corporation,Peanut-Annie  16-3-HLID3,OIL,Oil,PR,Producing,16,24,N,57,E, NE NW,290.0,N,2020.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2008-02-25 00:00:00,2008-08-19 00:00:00,2386.0,19821.0
25025220320000,664,"Denbury Onshore, LLC",Unit  14-26BH,EOR,"Injection, EOR",IA,Active Injection,26,7,N,60,E, SW SW,460.0,S,710.0,W,H,6680,Pennel,6680,Pennel,2001-09-03 00:00:00,2002-07-08 00:00:00,3060.0,13905.0
